agent_count,metric,coverage_target,method,family,description,n_features,accuracy,balanced_accuracy,f1,recall_not_helpful,recall_helpful,coverage,resolved_notes,accuracy_ci95_low,accuracy_ci95_high,coverage_ci95_low,coverage_ci95_high,accuracy_pct,coverage_pct,accuracy_se_pct
12,resolved,0.65,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.8983050847457628,0.8984674329501916,0.8977272727272727,0.8888888888888888,0.9080459770114944,0.686046511627907,177,0.8547954255513031,0.943213383838384,0.627906976744186,0.7364341085271318,89.83050847457628,68.6046511627907,2.2555601603847193
12,resolved,0.65,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.8959537572254336,0.8971102150537634,0.8902439024390244,0.8817204301075269,0.9125,0.6705426356589147,173,0.8524050260135466,0.934681424344886,0.6122093023255814,0.7209302325581395,89.59537572254335,67.05426356589147,2.0988877125341676
12,resolved,0.65,hybrid_all,full_model,All summary features plus per-agent vote indicators.,35,0.8938547486033519,0.8951754385964912,0.8901734104046243,0.8736842105263158,0.9166666666666666,0.6937984496124031,179,0.8456481481481481,0.9364694674976588,0.6431201550387597,0.7442829457364342,89.3854748603352,69.37984496124031,2.3168703915691493
12,resolved,0.65,summary_all,full_model,All non-agent summary features.,23,0.8858695652173914,0.8864201919658727,0.8813559322033898,0.8762886597938144,0.896551724137931,0.7131782945736435,184,0.8350085910652921,0.9211137474834628,0.6589147286821705,0.7675387596899226,88.58695652173914,71.31782945736434,2.1965601127084344
12,resolved,0.65,vote_only,single_addition,Only aggregate Helpful vote share.,1,0.84375,0.8356643356643356,0.8125,0.9326923076923076,0.7386363636363636,0.7441860465116279,192,0.7807354410295587,0.8919350201265095,0.686046511627907,0.7947674418604651,84.375,74.4186046511628,2.8367239565548665
24,resolved,0.65,vote_plus_quality,single_addition,Vote share plus structured note-quality judgments.,6,0.9195402298850576,0.9202380952380952,0.9186046511627908,0.9,0.9404761904761904,0.6744186046511628,174,0.8813559322033898,0.9540286229434302,0.6123062015503876,0.7364341085271318,91.95402298850576,67.44186046511628,1.853895171939805
24,resolved,0.65,vote_plus_cluster_quality,single_addition,Vote share plus cluster-level quality statistics.,6,0.9186046511627908,0.9188640973630832,0.9195402298850576,0.896551724137931,0.9411764705882352,0.6666666666666666,172,0.8734030877295675,0.9516926371423364,0.6124031007751938,0.7249031007751938,91.86046511627907,66.66666666666666,1.997182382978798
24,resolved,0.65,vote_plus_quality_plus_cluster_quality,targeted_combo,Vote share plus structured quality judgments and cluster-level quality statistics.,11,0.9157303370786516,0.9157303370786516,0.9171270718232044,0.898876404494382,0.9325842696629212,0.689922480620155,178,0.8734570924764891,0.9518906557838448,0.635562015503876,0.7404069767441861,91.57303370786516,68.9922480620155,2.0008562068202997
24,resolved,0.65,vote_plus_confidence_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus confidence, structured quality judgments, and cluster-level quality statistics.",13,0.9147727272727272,0.915374677002584,0.9152542372881356,0.8888888888888888,0.9418604651162792,0.6821705426356589,176,0.8677969902332071,0.9511193064182196,0.6278100775193799,0.7405038759689923,91.47727272727272,68.21705426356588,2.1255692904339925
24,resolved,0.65,vote_plus_uncertainty_plus_quality_plus_cluster_quality,targeted_combo,"Vote share plus uncertainty, structured quality judgments, and cluster-level quality statistics.",14,0.9147727272727272,0.9152553329023918,0.9132947976878611,0.9010989010989012,0.9294117647058824,0.6821705426356589,176,0.8805765374331551,0.9529480564155486,0.631686046511628,0.7364341085271318,91.47727272727272,68.21705426356588,1.8462122189386088
