method,accuracy,balanced_accuracy,resolved_coverage,h_to_nh,nh_to_h,recall_not_helpful,n_not_helpful,recall_needs_more_ratings,n_needs_more_ratings,recall_helpful,n_helpful,accuracy_pct,balanced_accuracy_pct,resolved_coverage_pct,recall_not_helpful_pct,recall_needs_more_ratings_pct,recall_helpful_pct
direct_lr_compact_C0.1_balanced,0.5175438596491229,0.5175438596491228,0.7192982456140351,11,5,0.631578947368421,76,0.3026315789473684,76,0.618421052631579,76,51.75438596491229,51.754385964912274,71.9298245614035,63.1578947368421,30.263157894736842,61.8421052631579
direct_svc_vote_official_C3.0,0.5175438596491229,0.5175438596491228,0.7236842105263158,16,7,0.6710526315789473,76,0.34210526315789475,76,0.5394736842105263,76,51.75438596491229,51.754385964912274,72.36842105263158,67.10526315789474,34.21052631578947,53.94736842105263
direct_extra_compact_d2_l3,0.5175438596491229,0.5175438596491228,0.9166666666666666,22,7,0.8421052631578947,76,0.09210526315789473,76,0.618421052631579,76,51.75438596491229,51.754385964912274,91.66666666666666,84.21052631578947,9.210526315789473,61.8421052631579
direct_rf_compact_dNone_l3,0.5175438596491229,0.5175438596491228,0.7017543859649122,10,6,0.6842105263157895,76,0.32894736842105265,76,0.5394736842105263,76,51.75438596491229,51.754385964912274,70.17543859649122,68.42105263157895,32.89473684210527,53.94736842105263
direct_svc_vote_C0.3,0.5131578947368421,0.5131578947368421,0.956140350877193,22,7,0.868421052631579,76,0.02631578947368421,76,0.6447368421052632,76,51.31578947368421,51.31578947368421,95.6140350877193,86.8421052631579,2.631578947368421,64.47368421052632
direct_svc_compact_C3.0,0.5131578947368421,0.5131578947368421,0.7368421052631579,14,11,0.631578947368421,76,0.32894736842105265,76,0.5789473684210527,76,51.31578947368421,51.31578947368421,73.68421052631578,63.1578947368421,32.89473684210527,57.89473684210527
direct_lr_full_C0.3_balanced,0.5131578947368421,0.5131578947368421,0.6842105263157895,8,5,0.631578947368421,76,0.32894736842105265,76,0.5789473684210527,76,51.31578947368421,51.31578947368421,68.42105263157895,63.1578947368421,32.89473684210527,57.89473684210527
direct_lr_vote_official_C0.03_balanced,0.5131578947368421,0.5131578947368421,0.7894736842105263,13,6,0.6842105263157895,76,0.21052631578947367,76,0.6447368421052632,76,51.31578947368421,51.31578947368421,78.94736842105263,68.42105263157895,21.052631578947366,64.47368421052632
direct_lr_vote_official_C0.3_balanced,0.5131578947368421,0.5131578947368421,0.7412280701754386,14,8,0.6447368421052632,76,0.3026315789473684,76,0.5921052631578947,76,51.31578947368421,51.31578947368421,74.12280701754386,64.47368421052632,30.263157894736842,59.210526315789465
direct_svc_vote_official_C0.3,0.5131578947368421,0.5131578947368421,0.8157894736842105,17,6,0.75,76,0.19736842105263158,76,0.5921052631578947,76,51.31578947368421,51.31578947368421,81.57894736842105,75.0,19.736842105263158,59.210526315789465
direct_lr_full_C3.0_balanced,0.5131578947368421,0.5131578947368421,0.7017543859649122,11,4,0.6052631578947368,76,0.3157894736842105,76,0.618421052631579,76,51.31578947368421,51.31578947368421,70.17543859649122,60.526315789473685,31.57894736842105,61.8421052631579
direct_extra_full_dNone_l3,0.5131578947368421,0.5131578947368421,0.75,12,6,0.6973684210526315,76,0.2631578947368421,76,0.5789473684210527,76,51.31578947368421,51.31578947368421,75.0,69.73684210526315,26.31578947368421,57.89473684210527
twostage_full_cn0.1_ch0.3_tn0.48_th0.4,0.5131578947368421,0.5131578947368421,0.49122807017543857,4,5,0.4473684210526316,76,0.5921052631578947,76,0.5,76,51.31578947368421,51.31578947368421,49.122807017543856,44.73684210526316,59.210526315789465,50.0
twostage_full_cn0.3_ch0.1_tn0.48_th0.6,0.5131578947368421,0.5131578947368421,0.5307017543859649,7,5,0.4868421052631579,76,0.5526315789473685,76,0.5,76,51.31578947368421,51.31578947368421,53.07017543859649,48.68421052631579,55.26315789473685,50.0
direct_rf_compact_d3_l6,0.5131578947368421,0.513157894736842,0.7631578947368421,12,7,0.6973684210526315,76,0.25,76,0.5921052631578947,76,51.31578947368421,51.315789473684205,76.31578947368422,69.73684210526315,25.0,59.210526315789465
direct_rf_full_dNone_l3,0.5131578947368421,0.513157894736842,0.7456140350877193,11,6,0.6710526315789473,76,0.2631578947368421,76,0.6052631578947368,76,51.31578947368421,51.315789473684205,74.56140350877193,67.10526315789474,26.31578947368421,60.526315789473685
direct_lr_vote_official_C1.0_none,0.5087719298245614,0.5087719298245614,0.7456140350877193,13,7,0.618421052631579,76,0.27631578947368424,76,0.631578947368421,76,50.877192982456144,50.877192982456144,74.56140350877193,61.8421052631579,27.631578947368425,63.1578947368421
twostage_compact_cn0.1_ch0.03_tn0.48_th0.4,0.5087719298245614,0.5087719298245614,0.49122807017543857,3,5,0.4605263157894737,76,0.5789473684210527,76,0.4868421052631579,76,50.877192982456144,50.877192982456144,49.122807017543856,46.05263157894737,57.89473684210527,48.68421052631579
twostage_full_cn0.3_ch0.3_tn0.48_th0.6,0.5087719298245614,0.5087719298245614,0.5131578947368421,3,6,0.5131578947368421,76,0.5526315789473685,76,0.4605263157894737,76,50.877192982456144,50.877192982456144,51.31578947368421,51.31578947368421,55.26315789473685,46.05263157894737
direct_rf_full_d3_l6,0.5087719298245614,0.5087719298245613,0.75,10,7,0.6973684210526315,76,0.25,76,0.5789473684210527,76,50.877192982456144,50.87719298245613,75.0,69.73684210526315,25.0,57.89473684210527
direct_extra_full_d2_l6,0.5087719298245614,0.5087719298245613,0.9035087719298246,22,6,0.8289473684210527,76,0.09210526315789473,76,0.6052631578947368,76,50.877192982456144,50.87719298245613,90.35087719298247,82.89473684210526,9.210526315789473,60.526315789473685
twostage_compact_cn1.0_ch0.3_tn0.48_th0.5,0.5087719298245614,0.5087719298245613,0.5394736842105263,5,4,0.5,76,0.5131578947368421,76,0.5131578947368421,76,50.877192982456144,50.87719298245613,53.94736842105263,50.0,51.31578947368421,51.31578947368421
twostage_full_cn0.3_ch0.1_tn0.48_th0.4,0.5087719298245614,0.5087719298245613,0.5526315789473685,6,8,0.4473684210526316,76,0.5263157894736842,76,0.5526315789473685,76,50.877192982456144,50.87719298245613,55.26315789473685,44.73684210526316,52.63157894736842,55.26315789473685
direct_extra_full_d2_l3,0.5043859649122807,0.5043859649122807,0.9210526315789473,22,7,0.8421052631578947,76,0.06578947368421052,76,0.6052631578947368,76,50.43859649122807,50.43859649122807,92.10526315789474,84.21052631578947,6.578947368421052,60.526315789473685
twostage_full_cn0.1_ch0.3_tn0.48_th0.6,0.5043859649122807,0.5043859649122807,0.543859649122807,6,3,0.5131578947368421,76,0.5,76,0.5,76,50.43859649122807,50.43859649122807,54.385964912280706,51.31578947368421,50.0,50.0
twostage_full_cn1.0_ch0.03_tn0.48_th0.5,0.5043859649122807,0.5043859649122807,0.5701754385964912,5,4,0.5657894736842105,76,0.4605263157894737,76,0.4868421052631579,76,50.43859649122807,50.43859649122807,57.01754385964912,56.57894736842105,46.05263157894737,48.68421052631579
twostage_compact_cn0.1_ch0.3_tn0.48_th0.6,0.5,0.5,0.4824561403508772,6,2,0.4605263157894737,76,0.5789473684210527,76,0.4605263157894737,76,50.0,50.0,48.24561403508772,46.05263157894737,57.89473684210527,46.05263157894737
